date,value
11/9/2019,8.665
12/9/2019,8.955
13/9/2019,8.9875
16/9/2019,9
17/9/2019,8.9375
18/9/2019,8.8875
19/9/2019,8.93
20/9/2019,8.8275
23/9/2019,8.925
24/9/2019,8.9425
25/9/2019,8.8925
26/9/2019,8.885
27/9/2019,8.83
30/9/2019,9.06
1/10/2019,9.195
2/10/2019,9.1375
3/10/2019,9.1175
4/10/2019,9.1625
7/10/2019,9.1525
8/10/2019,9.205
9/10/2019,9.2375
10/10/2019,9.235
11/10/2019,9.36
14/10/2019,9.405
15/10/2019,9.34
16/10/2019,9.28
17/10/2019,9.315
18/10/2019,9.34
21/10/2019,9.3325
22/10/2019,9.34
23/10/2019,9.3375
24/10/2019,9.3325
25/10/2019,9.2025
28/10/2019,9.237
29/10/2019,9.2435
30/10/2019,9.247
31/10/2019,9.2915
1/11/2019,9.3675
4/11/2019,9.38
5/11/2019,9.3425
6/11/2019,9.275
7/11/2019,9.365
8/11/2019,9.31
11/11/2019,9.17
12/11/2019,9.17
13/11/2019,9.1525
14/11/2019,9.1675
15/11/2019,9.1825
18/11/2019,9.1025
19/11/2019,9.115
20/11/2019,9.05
21/11/2019,9.01
22/11/2019,8.97
25/11/2019,8.925
26/11/2019,8.8425
27/11/2019,8.82
29/11/2019,8.7675
2/12/2019,8.705
3/12/2019,8.71
4/12/2019,8.78
5/12/2019,8.8425
6/12/2019,8.895
9/12/2019,8.9725
10/12/2019,9.0125
11/12/2019,8.935
12/12/2019,8.9825
13/12/2019,9.075
16/12/2019,9.22
17/12/2019,9.2875
18/12/2019,9.285
19/12/2019,9.245
20/12/2019,9.2825
23/12/2019,9.34
24/12/2019,9.365
26/12/2019,9.395
27/12/2019,9.343
30/12/2019,9.473
31/12/2019,9.53
2/1/2020,9.5625
3/1/2020,9.415
6/1/2020,9.4475
7/1/2020,9.44
8/1/2020,9.4725
9/1/2020,9.435
10/1/2020,9.46
13/1/2020,9.4225
14/1/2020,9.4225
15/1/2020,9.2875
16/1/2020,9.24
17/1/2020,9.2975
21/1/2020,9.16
22/1/2020,9.1375
23/1/2020,9.095
24/1/2020,9.02
27/1/2020,8.9725
28/1/2020,8.95
29/1/2020,8.93
30/1/2020,8.7625
31/1/2020,8.725
3/2/2020,8.77
4/2/2020,8.795
5/2/2020,8.8
6/2/2020,8.81
7/2/2020,8.82
10/2/2020,8.8425
11/2/2020,8.8475
12/2/2020,8.925
13/2/2020,8.9625
14/2/2020,8.9375
18/2/2020,8.9225
19/2/2020,8.9725
20/2/2020,8.9275
21/2/2020,8.905
24/2/2020,8.7425
25/2/2020,8.8085
26/2/2020,8.854
27/2/2020,8.915
28/2/2020,8.909
2/3/2020,9.01
3/3/2020,9.035
4/3/2020,9.0725
5/3/2020,8.97
6/3/2020,8.9125
9/3/2020,8.7
10/3/2020,8.7625
11/3/2020,8.7325
12/3/2020,8.595
13/3/2020,8.4875
16/3/2020,8.2175
17/3/2020,8.2425
18/3/2020,8.255
19/3/2020,8.4325
20/3/2020,8.625
23/3/2020,8.84
24/3/2020,8.8675
25/3/2020,8.815
26/3/2020,8.8025
27/3/2020,8.815
30/3/2020,8.8225
31/3/2020,8.86
1/4/2020,8.6275
2/4/2020,8.5875
3/4/2020,8.5425
6/4/2020,8.555
7/4/2020,8.5475
8/4/2020,8.545
9/4/2020,8.635
13/4/2020,8.5425
14/4/2020,8.47
15/4/2020,8.42
16/4/2020,8.3675
17/4/2020,8.325
20/4/2020,8.265
21/4/2020,8.3075
22/4/2020,8.3475
23/4/2020,8.3925
24/4/2020,8.3225
27/4/2020,8.305
28/4/2020,8.284
29/4/2020,8.352
30/4/2020,8.5425
1/5/2020,8.495
4/5/2020,8.365
5/5/2020,8.395
6/5/2020,8.325
7/5/2020,8.4425
8/5/2020,8.505
11/5/2020,8.55
12/5/2020,8.52
13/5/2020,8.395
14/5/2020,8.37
15/5/2020,8.385
18/5/2020,8.45
19/5/2020,8.425
20/5/2020,8.4675
21/5/2020,8.35
22/5/2020,8.3325
26/5/2020,8.47
27/5/2020,8.485
28/5/2020,8.47
29/5/2020,8.4075
1/6/2020,8.405
2/6/2020,8.505
3/6/2020,8.575
4/6/2020,8.6775
5/6/2020,8.6775
8/6/2020,8.6475
9/6/2020,8.6325
10/6/2020,8.655
11/6/2020,8.66
12/6/2020,8.7125
15/6/2020,8.69
16/6/2020,8.67
17/6/2020,8.7125
18/6/2020,8.73
19/6/2020,8.765
22/6/2020,8.7625
23/6/2020,8.75
24/6/2020,8.7075
25/6/2020,8.687
26/6/2020,8.63
29/6/2020,8.635
30/6/2020,8.7985
1/7/2020,8.915
2/7/2020,8.9125
6/7/2020,8.985
7/7/2020,8.9675
8/7/2020,8.925
9/7/2020,8.965
10/7/2020,8.8725
13/7/2020,8.74
14/7/2020,8.78
15/7/2020,8.8625
16/7/2020,8.935
17/7/2020,8.98
20/7/2020,9.03
21/7/2020,8.965
22/7/2020,8.9925
23/7/2020,9.0625
24/7/2020,9.0475
27/7/2020,9.065
28/7/2020,8.9495
29/7/2020,8.887
30/7/2020,8.8875
31/7/2020,8.917
3/8/2020,8.93
4/8/2020,8.7975
5/8/2020,8.7625
6/8/2020,8.7475
7/8/2020,8.6575
10/8/2020,8.7
11/8/2020,8.705
12/8/2020,8.805
13/8/2020,8.9625
14/8/2020,8.97
17/8/2020,9.125
18/8/2020,9.12
19/8/2020,9.125
20/8/2020,9.03
21/8/2020,9.0075
24/8/2020,8.9975
25/8/2020,9.1375
26/8/2020,9.2045
27/8/2020,9.3915
28/8/2020,9.505
31/8/2020,9.5305
1/9/2020,9.5475
2/9/2020,9.62
3/9/2020,9.66
4/9/2020,9.68
8/9/2020,9.73
9/9/2020,9.7875
10/9/2020,9.775
11/9/2020,9.96
14/9/2020,9.995
15/9/2020,9.915
16/9/2020,10.1125
17/9/2020,10.285
18/9/2020,10.435
21/9/2020,10.225
22/9/2020,10.1975
23/9/2020,10.145
24/9/2020,10
25/9/2020,10.025
28/9/2020,9.9625
29/9/2020,9.93
30/9/2020,10.235
1/10/2020,10.235
2/10/2020,10.2075
5/10/2020,10.215
6/10/2020,10.44
7/10/2020,10.51
8/10/2020,10.5
9/10/2020,10.655
12/10/2020,10.3375
13/10/2020,10.44
14/10/2020,10.5625
15/10/2020,10.6225
16/10/2020,10.5
19/10/2020,10.5425
20/10/2020,10.64
21/10/2020,10.72
22/10/2020,10.7375
23/10/2020,10.8375
